                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.76723,                0.48697,                 1.0567,                0.99926,                      1,                  0.995,                0.76606,                0.79365,                 0.4009,                  1.055,               0.001307,               0.001307,               0.001307
                     37,                0.71656,                0.47593,                 1.0547,                0.99495,                0.99592,                0.99496,                0.79473,                0.74426,                0.40085,                 1.0203,              0.0012872,              0.0012872,              0.0012872
                     38,                0.74149,                0.48723,                 1.0442,                0.99177,                      1,                  0.995,                0.79036,                0.72046,                0.40072,                 1.0075,              0.0012674,              0.0012674,              0.0012674
                     39,                0.77034,                0.47681,                 1.0334,                0.99817,                      1,                  0.995,                0.76454,                0.76203,                0.40346,                 1.0281,              0.0012476,              0.0012476,              0.0012476
                     40,                0.79263,                0.47423,                 1.0398,                 0.9954,                      1,                  0.995,                0.79947,                0.70834,                0.38649,                0.98756,              0.0012278,              0.0012278,              0.0012278
                     41,                 0.7349,                0.46929,                 1.0477,                 0.9996,                      1,                  0.995,                0.81128,                0.75271,                0.38188,                 1.0206,               0.001208,               0.001208,               0.001208
                     42,                0.73774,                0.46491,                 1.0496,                      1,                0.99935,                  0.995,                0.79648,                0.71268,                0.37463,                 1.0096,              0.0011882,              0.0011882,              0.0011882
                     43,                0.73231,                0.46401,                 1.0488,                0.99593,                0.99966,                  0.995,                0.80515,                 0.6974,                0.38416,                 1.0023,              0.0011684,              0.0011684,              0.0011684
                     44,                0.74815,                0.45758,                 1.0502,                0.99575,                      1,                0.99472,                0.78393,                0.71238,                0.37047,                 1.0138,              0.0011486,              0.0011486,              0.0011486
                     45,                0.71955,                0.44281,                 1.0245,                0.99303,                0.99592,                0.99496,                0.79811,                0.68667,                0.36728,                0.99872,              0.0011288,              0.0011288,              0.0011288
                     46,                0.71192,                 0.4326,                 1.0251,                0.99949,                0.99592,                  0.995,                 0.7932,                0.72249,                0.36585,                 1.0106,               0.001109,               0.001109,               0.001109
                     47,                0.76694,                0.44941,                 1.0244,                0.99588,                0.98602,                0.99488,                0.80832,                0.70259,                0.36732,                 1.0051,              0.0010892,              0.0010892,              0.0010892
                     48,                0.73748,                0.45909,                   1.03,                      1,                 0.9957,                  0.995,                0.82037,                  0.676,                  0.372,                0.98471,              0.0010694,              0.0010694,              0.0010694
                     49,                0.67283,                0.43473,                 1.0288,                      1,                 0.9915,                  0.995,                0.81809,                0.73794,                0.36826,                 1.0246,              0.0010496,              0.0010496,              0.0010496
                     50,                0.74627,                0.44956,                 1.0292,                0.98753,                      1,                0.99488,                0.78673,                0.71142,                0.35584,                 1.0016,              0.0010298,              0.0010298,              0.0010298
                     51,                0.72897,                0.42933,                 1.0257,                0.99832,                      1,                  0.995,                0.80742,                0.72791,                0.35314,                 1.0059,                0.00101,                0.00101,                0.00101
                     52,                0.71378,                0.43221,                 1.0329,                0.99962,                      1,                  0.995,                0.83554,                0.66754,                0.35012,                0.98119,              0.0009902,              0.0009902,              0.0009902
                     53,                0.71947,                0.43144,                 1.0141,                0.99562,                      1,                0.99472,                0.78584,                0.73367,                0.35363,                 1.0235,              0.0009704,              0.0009704,              0.0009704
                     54,                0.69866,                0.40539,                0.99577,                0.99966,                0.99592,                  0.995,                0.82489,                0.66647,                0.34092,                0.98714,              0.0009506,              0.0009506,              0.0009506
                     55,                0.69917,                0.41518,                 1.0096,                 0.9997,                      1,                  0.995,                0.81498,                0.68422,                0.34696,                0.99021,              0.0009308,              0.0009308,              0.0009308
                     56,                0.70073,                0.42983,                 1.0325,                0.99896,                      1,                  0.995,                0.82881,                0.66531,                0.33694,                0.98335,               0.000911,               0.000911,               0.000911
                     57,                0.69458,                0.42021,                 1.0111,                0.99968,                      1,                  0.995,                 0.8169,                0.69135,                0.33694,                0.99688,              0.0008912,              0.0008912,              0.0008912
                     58,                0.66055,                0.41779,                 1.0406,                0.99973,                      1,                  0.995,                0.82163,                0.65454,                0.33391,                0.97933,              0.0008714,              0.0008714,              0.0008714
                     59,                0.64992,                0.40029,                 1.0163,                0.99971,                      1,                  0.995,                0.83598,                0.65092,                0.32292,                0.96234,              0.0008516,              0.0008516,              0.0008516
                     60,                 0.6618,                0.40884,                 1.0273,                0.99961,                      1,                  0.995,                0.81271,                0.72382,                0.33609,                 0.9848,              0.0008318,              0.0008318,              0.0008318
                     61,                0.65415,                0.40116,                 1.0055,                0.99944,                      1,                  0.995,                0.82126,                0.67517,                0.33379,                0.98252,               0.000812,               0.000812,               0.000812
                     62,                0.64562,                0.38446,                 1.0106,                0.99909,                      1,                  0.995,                 0.8197,                0.70057,                0.33374,                0.98404,              0.0007922,              0.0007922,              0.0007922
                     63,                0.69403,                0.39659,                 1.0149,                0.99939,                      1,                  0.995,                0.83165,                0.65037,                0.32106,                0.97293,              0.0007724,              0.0007724,              0.0007724
                     64,                0.64791,                0.39616,                 1.0085,                0.99887,                      1,                  0.995,                0.81457,                0.67535,                0.32569,                0.98114,              0.0007526,              0.0007526,              0.0007526
                     65,                0.66446,                0.38994,                0.98726,                0.99947,                      1,                  0.995,                0.82109,                0.66042,                  0.322,                0.98233,              0.0007328,              0.0007328,              0.0007328
                     66,                0.67446,                0.40103,                 1.0072,                0.99968,                      1,                  0.995,                0.82271,                0.67402,                0.31937,                0.97544,               0.000713,               0.000713,               0.000713
                     67,                0.64809,                0.37314,                0.99133,                0.99971,                      1,                  0.995,                0.83766,                0.63941,                0.30663,                0.95968,              0.0006932,              0.0006932,              0.0006932
                     68,                0.65175,                0.37846,                0.98059,                0.99971,                      1,                  0.995,                 0.8365,                0.63283,                0.30087,                0.95946,              0.0006734,              0.0006734,              0.0006734
                     69,                0.60773,                0.36447,                 0.9977,                0.99971,                      1,                  0.995,                0.81893,                0.66767,                0.30715,                0.98948,              0.0006536,              0.0006536,              0.0006536
